branch,stage,status,candidate,target_label,alpha,selection_score,oof_f1,fold_mean,fold_std,full_dev_threshold,notes
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.475,80.00021137142866,80.81810068447166,80.9500044958204,3.799172497566914,0.5492710520823796,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.5,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.9622951745986937,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.5,96.60118282193625,96.83615390212958,96.82706689585106,0.9035362956592522,0.9295805891354878,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.5,79.5480668651964,80.31946144785091,80.44046024284539,3.5695735105959443,0.4871766337503989,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.525,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8187386568635702,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.525,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.7484592039293299,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.525,80.62900791813517,81.50627025503734,81.5777178640466,3.7948397836457257,0.4979324186919256,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.55,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8219364412128924,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.55,96.23730231564011,96.53787564049301,96.53454569683268,1.188973524770273,0.935746508836746,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.55,80.04770860101618,80.93961730325367,80.96368408007251,3.6639019162253104,0.529363723595937,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.575,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8251342255622147,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.575,96.3504256063724,96.70381157103404,96.69298286622447,1.370229039408313,0.773748745319123,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.575,79.75436410872682,80.76094259262206,80.7855156528558,4.124606176515969,0.51904383910199,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.6,97.03426717487098,97.35899971337379,97.33580932323405,1.2061685934522965,0.8283320099115371,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.6,96.50414642078185,96.85261421863001,96.83957223198476,1.3417032448116346,0.357155088831981,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.6,80.09557328568881,81.05325838844428,81.07825171239652,3.9307137068308378,0.45778392075250546,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.625,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.9671611885229745,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.625,96.50414642078185,96.85261421863001,96.83957223198476,1.3417032448116346,0.3677670330119629,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.625,80.44310973818232,81.34104172217707,81.33184639392474,3.554946622969681,0.5052500521608938,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.65,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8347275786101818,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.65,96.50414642078185,96.85261421863001,96.83957223198476,1.3417032448116346,0.3768523182099064,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.65,79.99829254236593,80.92944560124357,80.9481441478278,3.7994064218474732,0.49489111360162497,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.675,97.14063422407914,97.35899971337379,97.34811451952521,0.8299211817843105,0.8374460127204657,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
